corredor,onibus hora,extensao,convencional,especial,total,ano
BR - 324 (Coca-Cola),74, 21.39,17,4,21,2020
AV. ALIOMAR BALEEIRO (Mansao do Caminho),60, 19.04,16,2,18,2020
AV. AFRANIO PEIXOTO (Baixa do Fiscal),120, 14.50,39,1,40,2020
AV. LUIS VIANA FILHO (PARALELA) - Shopping Amazonas,115, 13.37,24,0,24,2020
AV. OCTAVIO MANGABEIRA (Sol Plaza Hotel),57, 13.18,17,1,18,2020
AV. ANTONIO CARLOS MAGALHAES (Mc Donalds),188, 6.80,44,0,44,2020
EST. CAMPINAS S. CAETANO (Bompreco),57, 5.67,18,0,18,2020
AV. JURACY MAGALHAES JR. (Ceasa),123, 4.99,32,2,34,2020
AV. S. MARCOS AV. S. RAFAEL (Hospital Sao Rafael),69, 4.59,16,0,16,2020
AV. MARIO LEAL FERREIRA (BONOCO) Escola da Biblia,99, 4.51,24,1,25,2020
R. SILVEIRA MARTINS (Chacara Cabula),82, 4.50,18,0,18,2020
AV. TANCREDO NEVES (Hospital Sarah),196, 3.86,42,0,42,2020
AV. VASCO DA GAMA (Perini),60, 3.60,14,2,16,2020
AV. BARROS REIS (Madeireira Cristo Rei),130, 2.00,35,3,38,2020
AV. HEITOR DIAS (Bar Sertanejo),93, 2.00,18,2,20,2020
AV. DA FRANCA (Fuzileiros Navais),166, 3.23,45,1,46,2020
AV. CENTENARIO (Hospital Santo Amaro),82, 2.82,15,2,17,2020
AV. D. JOAO VI (Hospital Aristides Maltez),31, 2.78,9,1,10,2020
R. LIMA E SILVA (Plano Inclinado),51, 2.60,15,0,15,2020
AV. CARDEAL DA SILVA (Unifacs),27, 2.17,8,0,8,2020
AV. SETE DE SETEMBRO (Porto da Barra),49, 2.10,12,1,13,2020
AV. JOANA ANGELICA (Colegio Central),20, 1.38,4,0,4,2020
RUA CARLOS GOMES (Igreja Universal),79, 1.11,23,1,24,2020
