corredor,onibus hora,extensao,convencional,especial,total,ano
BR - 324 (Coca-Cola),62, 21.39,16,4,20,2021
AV. ALIOMAR BALEEIRO (Mansao do Caminho),47, 19.04,14,2,16,2021
AV. AFRANIO PEIXOTO (Baixa do Fiscal),99, 14.50,34,1,35,2021
AV. LUIS VIANA FILHO (PARALELA) - Shopping Amazonas,110, 13.37,25,0,25,2021
AV. OCTAVIO MANGABEIRA (Sol Plaza Hotel),52, 13.18,14,0,14,2021
AV. ANTONIO CARLOS MAGALHAES (Mc Donalds),160, 6.80,34,0,34,2021
EST. CAMPINAS S. CAETANO (Bompreco),46, 5.67,15,0,15,2021
AV. JURACY MAGALHAES JR. (Ceasa),96, 4.99,23,2,25,2021
AV. S. MARCOS AV. S. RAFAEL (Hospital Sao Rafael),60, 4.59,15,0,15,2021
AV. MARIO LEAL FERREIRA (BONOCO) Escola da Biblia,87, 4.51,21,1,22,2021
R. SILVEIRA MARTINS (Chacara Cabula),70, 4.50,17,0,17,2021
AV. TANCREDO NEVES (Hospital Sarah),165, 3.86,35,0,35,2021
AV. VASCO DA GAMA (Perini),58, 3.60,16,1,17,2021
AV. BARROS REIS (Madeireira Cristo Rei),121, 2.00,34,3,37,2021
AV. HEITOR DIAS (Bar Sertanejo),70, 2.00,17,2,19,2021
AV. DA FRANCA (Fuzileiros Navais),132, 3.23,42,1,43,2021
AV. CENTENARIO (Hospital Santo Amaro),70, 2.82,12,1,13,2021
AV. D. JOAO VI (Hospital Aristides Maltez),27, 2.78,8,1,9,2021
R. LIMA E SILVA (Plano Inclinado),40, 2.60,11,0,11,2021
AV. CARDEAL DA SILVA (Unifacs),24, 2.17,5,0,5,2021
AV. SETE DE SETEMBRO (Porto da Barra),48, 2.10,9,0,9,2021
AV. JOANA ANGELICA (Colegio Central),16, 1.38,4,0,4,2021
RUA CARLOS GOMES (Igreja Universal),62, 1.11,18,1,19,2021
